ID,Year,Host,strain name
EPI2351908,2022,Avess,A/Mixed_wild_birds/Belgium/10368_0001/2022
EPI2540560,2021,Aves,A/duck/Korea/H649/2021
EPI3298860,2022,Aves,A/Mixed/ON/FAV-0182-4/2022
EPI2614094,2023,Aves,A/red-tailed hawk/Pennsylvania/23-009486-001/2023
EPI2745290,2022,Aves,A/pelican/Peru/PIU-SER016/2022
EPI3309928,2022,Aves,A/Razorbill/NL/FAV-0863-4/2022
EPI3309920,2022,Aves,A/Razorbill/NL/FAV-0863-3/2022
EPI3313178,2022,Aves,A/Chicken/QC/FAV-1233-3/2022
EPI3305568,2022,Aves,A/Double-crested_Cormorant/NB/FAV-0747-1/2022
EPI2560135,2022,Anseriformes,A/goose/Spain/4727-22_23VIR1687-1/2022
EPI2751952,2023,Galliformes,A/chicken/Niigata/22E12T/2023
EPI2702148,2022,Anseriformes,A/Snow Goose/North Dakota/USDA-010663-001/2022
EPI3313170,2022,Aves,A/Chicken/QC/FAV-1233-2/2022
EPI3599507,2024,Artiodactyla,A/dairy cow/USA/24_027655-001/2024
EPI2960189,2023,Aves,A/Greylag_Goose/England/266941/2023
EPI2702140,2022,Anseriformes,A/American Black Duck/Connecticut/USDA-005000-001/2022
EPI2540552,2021,Aves,A/duck/Korea/H640/2021
EPI2606479,2022,Galliformes,A/chicken/Japan/AZRC-TU-17/2022
